circuit_name,Certolizumab pegol,Etanercept,Infliximab,Adalimumab,Foreskin keratinocyte (neonatal),Pomalidomide,Golimumab,Glycyrrhizic acid,Omega-3-carboxylic acids,Tyloxapol,Triflusal,Fluocinolone acetonide,Levetiracetam,Ziconotide,Phenytoin,Tasonermin,Dalfampridine,Bumetanide,Pitolisant,Betahistine,Histamine,Varenicline,Nicotine,Lifitegrast,Antithymocyte immunoglobulin (rabbit),Idelalisib,Copanlisib,Duvelisib,Zonisamide,Carfilzomib,Muromonab,Sargramostim,Ruxolitinib,Deucravacitinib,Peginterferon alfa-2b,Interferon alfa-n3,Nylidrin,Interferon beta-1b,Interferon alfa-2a,Interferon alfacon-1,Interferon alfa-n1,Peginterferon alfa-2a,Interferon alfa-2b,Interferon beta-1a,Lipegfilgrastim,Pegfilgrastim,Filgrastim,Lenograstim,Eflapegrastim,Sulfasalazine,Mesalazine,Diethylcarbamazine,Masoprocol,Meclofenamic acid,Balsalazide,Acalabrutinib,Zanubrutinib,Ibrutinib,Alemtuzumab,Dasatinib,Aldesleukin,Denileukin diftitox,Niacin,Elotuzumab
Proteoglycans in cancer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0389835646370093,0.0456310119585912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1300784087763167,0.1300784087763167,0.0921198154947968,0.0921198154947968,0.0921198154947968,0.0,0.0561091750878328,0.0504856649854,0.0602614447888566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821185200592575,0.0821185200592575,0.0821185200592575,0.0821185200592575,0.0821185200592575,0.0785724714323199,0.0785724714323199,0.0785724714323199,0.0785724714323199,0.0785724714323199,0.0785724714323199,0.0687538482806908,0.0687538482806908,0.0687538482806908,0.098468634380169,0.0789942617053587,0.17560407626086255,0.1669824054783139,0.064155023293544,0.1101130266878002
TNF signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.509929356917322,0.019858713834644,0.019858713834644,0.056037598524366565,0.04186253937645393,0.014058346913403746,0.014058346913403746,0.0,0.005068251005424173,0.01981295067970081,0.0,0.0,0.0,0.0,0.013894441703824317,0.0069472208519121585,0.2304791025686125,0.2304791025686125,0.20718579250371147,0.20718579250371147,0.20718579250371147,0.0,0.07962961251504673,0.06475123953947409,0.08982683844223141,0.10949367357981407,0.10949367357981407,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.08022608687649976,0.13808830268305927,0.13808830268305927,0.13808830268305927,0.13808830268305927,0.13808830268305927,0.12214289707794909,0.12214289707794909,0.12214289707794909,0.12214289707794909,0.12214289707794909,0.12214289707794909,0.1307730442323018,0.1307730442323018,0.1307730442323018,0.14868141084399217,0.15884330494798682,0.25995498928568905,0.21932872538026382,0.08218998837033652,0.13315482173777823
Toll-like receptor signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0493043729098548,0.0476326785500506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2273836679779711,0.2273836679779711,0.2068964262176785,0.2068964262176785,0.2068964262176785,0.0,0.0700716400731454,0.0644654887876232,0.0914779133429215,0.1155880583902732,0.1155880583902732,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.148893634262851,0.148893634262851,0.148893634262851,0.148893634262851,0.148893634262851,0.1359627918196391,0.1359627918196391,0.1359627918196391,0.1359627918196391,0.1359627918196391,0.1359627918196391,0.1466588067099521,0.1466588067099521,0.1466588067099521,0.143902220970905,0.1483873431005219,0.244355494976688,0.2013629816391317,0.07820912937287994,0.1259081155490197
AGE-RAGE signaling pathway in diabetic complications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0396498443656472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316311974759516,0.2316311974759516,0.179365255070772,0.179365255070772,0.179365255070772,0.0,0.0694634859844402,0.0719409191113193,0.0740585135866305,0.0846002492359051,0.0846002492359051,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.1283219038523451,0.1283219038523451,0.1283219038523451,0.1283219038523451,0.1283219038523451,0.1275926313009479,0.1275926313009479,0.1275926313009479,0.1275926313009479,0.1275926313009479,0.1275926313009479,0.1232028467298507,0.1232028467298507,0.1232028467298507,0.1461263832280203,0.1489692559862813,0.23115634259980689,0.2014423125957923,0.0664031291482279,0.1254749084219603
Hepatitis B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0512961745256975,0.04688204263675335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1945785178405566,0.1945785178405566,0.1739439584711196,0.1739439584711196,0.1739439584711196,0.0,0.06480553496531119,0.0578949181893744,0.07861347280144415,0.09831469119275565,0.09831469119275565,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.0748245651585218,0.1342278888620829,0.1342278888620829,0.1342278888620829,0.1342278888620829,0.1342278888620829,0.11589293832318695,0.11589293832318695,0.11589293832318695,0.11589293832318695,0.11589293832318695,0.11589293832318695,0.12032404110821035,0.12032404110821035,0.12032404110821035,0.1261738265496417,0.12481800917917055,0.21408619624046127,0.17710499860242607,0.06286769554677148,0.11216862856775964
Legionellosis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0450343248886465,0.0486694362582124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997911299136601,0.1997911299136601,0.1646670957677413,0.1646670957677413,0.1646670957677413,0.0,0.0723086260171706,0.0681423773537116,0.0786484536915169,0.0911567840597652,0.0911567840597652,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.1494855872189849,0.1494855872189849,0.1494855872189849,0.1494855872189849,0.1494855872189849,0.1213029527779284,0.1213029527779284,0.1213029527779284,0.1213029527779284,0.1213029527779284,0.1213029527779284,0.116333175798327,0.116333175798327,0.116333175798327,0.1291553867487268,0.1239942834773018,0.22270512268759368,0.1889150934280344,0.07658332922418215,0.1266810556914816
Antigen processing and presentation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0366706494478355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2081870437500306,0.2081870437500306,0.1540122640537,0.1540122640537,0.1540122640537,0.0,0.0743263353807942,0.0738001358039537,0.0588532536270455,0.0711575166429836,0.0711575166429836,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0811394999202799,0.0811394999202799,0.0811394999202799,0.0811394999202799,0.0811394999202799,0.0783441648281024,0.0783441648281024,0.0783441648281024,0.0783441648281024,0.0783441648281024,0.0783441648281024,0.1020987289333487,0.1020987289333487,0.1020987289333487,0.1272576851914377,0.1556554690098937,0.2584900862428199,0.2480915831780154,0.06984758271249335,0.1528908619214572
HTLV-I infection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5253427720134064,0.0506855440268128,0.0506855440268128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1609744247482564,0.1609744247482564,0.1441327125520618,0.1441327125520618,0.1441327125520618,0.0,0.0715191644891066,0.049160298898149,0.0621379827133134,0.0869927617249995,0.0869927617249995,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0605186352290072,0.0780921457799947,0.0780921457799947,0.0780921457799947,0.0780921457799947,0.0780921457799947,0.0781086803805404,0.0781086803805404,0.0781086803805404,0.0781086803805404,0.0781086803805404,0.0781086803805404,0.0938390797848192,0.0938390797848192,0.0938390797848192,0.1084428694866862,0.1197037109055221,0.22928559205449295,0.2198838748080787,0.1105990315135028,0.1508760672257447
Inflammatory bowel disease (IBD),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0455474807256206,0.0453333813049604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604328691209645,0.1604328691209645,0.1320196845506201,0.1320196845506201,0.1320196845506201,0.0,0.059974094725329,0.0575735892625278,0.064976541053988,0.0661731163216773,0.0661731163216773,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.1110115609066651,0.1110115609066651,0.1110115609066651,0.1110115609066651,0.1110115609066651,0.0940951289501153,0.0940951289501153,0.0940951289501153,0.0940951289501153,0.0940951289501153,0.0940951289501153,0.0910787058649487,0.0910787058649487,0.0910787058649487,0.1083535103208409,0.1043526302873239,0.19373464908115434,0.173159486815784,0.0701002286323445,0.112018047468378
Hepatitis C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0560493164635107,0.0525399123716885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1569128455272491,0.1569128455272491,0.1374734347694918,0.1374734347694918,0.1374734347694918,0.0,0.0697877249924124,0.0493587693881931,0.0620803287899252,0.0664862105176363,0.0664862105176363,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0681002041944742,0.0681002041944742,0.0681002041944742,0.0681002041944742,0.0681002041944742,0.0781505886338685,0.0781505886338685,0.0781505886338685,0.0781505886338685,0.0781505886338685,0.0781505886338685,0.0923787485007708,0.0923787485007708,0.0923787485007708,0.1123107528842953,0.118403510452461,0.20942942817823085,0.1955330775279115,0.07949714279887879,0.12025577840213
Toxoplasmosis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1632120395865128,0.1632120395865128,0.1342898499805741,0.1342898499805741,0.1342898499805741,0.0,0.0678171592434524,0.056331490161768,0.0547647711646109,0.0706273772216245,0.0706273772216245,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0872098139611046,0.0872098139611046,0.0872098139611046,0.0872098139611046,0.0872098139611046,0.0804544431820714,0.0804544431820714,0.0804544431820714,0.0804544431820714,0.0804544431820714,0.0804544431820714,0.0935892703970521,0.0935892703970521,0.0935892703970521,0.1150725944493334,0.1176856099497092,0.2078363367230934,0.1854007234814662,0.05355873734956405,0.1237734160258829
Osteoclast differentiation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5962592752017319,0.19251855040346394,0.19251855040346394,0.09592851153529192,0.09805588616210463,0.0,0.0,0.0839398939152841,0.0798783950492918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23736226362646468,0.23736226362646468,0.20222376153840815,0.20222376153840815,0.20222376153840815,0.0,0.07826247261076436,0.0,0.1640136880868321,0.07543374984434978,0.07543374984434978,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.06544777688494896,0.20947330976261674,0.20947330976261674,0.20947330976261674,0.20947330976261674,0.20947330976261674,0.18105350341017518,0.18105350341017518,0.18105350341017518,0.18105350341017518,0.18105350341017518,0.18105350341017518,0.18051626089992714,0.18051626089992714,0.18051626089992714,0.19069516987141852,0.12598818376966656,0.28988469856110827,0.2261670553394916,0.11003689434137118,0.14735366041988068
Herpes simplex infection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5165262830718163,0.03305256614363245,0.03305256614363245,0.0284185147722303,0.05810963142663325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2824147823828451,0.2824147823828451,0.2162359533793283,0.2162359533793283,0.2162359533793283,0.02608511197613885,0.1135330163451254,0.10794755936014006,0.0901359764820584,0.12265426655288066,0.12265426655288066,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.0855042338363255,0.1254121404618211,0.1254121404618211,0.1254121404618211,0.1254121404618211,0.1254121404618211,0.1223806385691544,0.1223806385691544,0.1223806385691544,0.1223806385691544,0.1223806385691544,0.1223806385691544,0.14678360423863984,0.14678360423863984,0.14678360423863984,0.19273628370584114,0.2119044490360572,0.36857641734070523,0.3439084852312646,0.06549361026198315,0.23337593933987044
Non-alcoholic fatty liver disease (NAFLD),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.03493973126319783,0.012263808464399098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33160576645616757,0.33160576645616757,0.254546167590789,0.254546167590789,0.254546167590789,0.0,0.11777928607083925,0.1272115937897277,0.10813792128914475,0.1314442418493643,0.1314442418493643,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.10256675786900327,0.15510016940277735,0.15510016940277735,0.15510016940277735,0.15510016940277735,0.15510016940277735,0.14523588515810176,0.14523588515810176,0.14523588515810176,0.14523588515810176,0.14523588515810176,0.14523588515810176,0.1640052154945539,0.1640052154945539,0.1640052154945539,0.20618505349460003,0.2501960894743196,0.397366140217463,0.3643155161349367,0.08132956120089356,0.2336151314742092
Chagas disease (American trypanosomiasis),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0756616686008168,0.0732999738768428,0.0,0.0,0.0,0.0,0.0587080177282492,0.0,0.0,0.0,0.0,0.0,0.0,0.3176479237681345,0.3176479237681345,0.2685807543137743,0.2685807543137743,0.2685807543137743,0.0,0.1153478217909919,0.1141400109501854,0.1155188019807102,0.1571091278667815,0.1571091278667815,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.1125699404669587,0.2072606487148575,0.2072606487148575,0.2072606487148575,0.2072606487148575,0.2072606487148575,0.1727417001320786,0.1727417001320786,0.1727417001320786,0.1727417001320786,0.1727417001320786,0.1727417001320786,0.1723633399772388,0.1723633399772388,0.1723633399772388,0.2007882398651884,0.2145710350320275,0.363543552394587,0.3157825026823933,0.0857991294402497,0.2092321154012285
Tuberculosis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.1182901425728702,0.09740086055108346,0.0584513851588691,0.0584513851588691,0.0,0.0,0.061942289977337,0.0549983239950273,0.05327082185014135,0.05327082185014135,0.05327082185014135,0.06041918974647565,0.030209594873237825,0.28515030549856485,0.28515030549856485,0.2582739515988385,0.2582739515988385,0.2582739515988385,0.0,0.1198522451374346,0.08743910238162975,0.12705397303728672,0.16146727447542106,0.16146727447542106,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.12415090558065736,0.21029686989360216,0.21029686989360216,0.21029686989360216,0.21029686989360216,0.21029686989360216,0.18880618906387195,0.18880618906387195,0.18880618906387195,0.18880618906387195,0.18880618906387195,0.18880618906387195,0.1784451209172829,0.1784451209172829,0.1784451209172829,0.1906637053995677,0.17762388456860095,0.3232002720719809,0.2555693410423141,0.08104023743108682,0.18940412605072532
Natural killer cell mediated cytotoxicity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584115223688864,0.4584115223688864,0.4047436212087528,0.4047436212087528,0.4047436212087528,0.0,0.0920755194772767,0.1534499971388936,0.1290458578604476,0.2389325273102186,0.2389325273102186,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.2886552423621625,0.2886552423621625,0.2886552423621625,0.2886552423621625,0.2886552423621625,0.2431722381986139,0.2431722381986139,0.2431722381986139,0.2431722381986139,0.2431722381986139,0.2431722381986139,0.258789678519688,0.258789678519688,0.258789678519688,0.2467633212864153,0.3202073763035584,0.40394959834878397,0.294135269734326,0.0734438489613965,0.1723102679751672
